"raci_id","segmen_kode","aksi_kunci","jasa_raharja","bapenda","samsat","polri","kelurahan","vendor_ti"
"1","H1","Konfigurasi alur pengingat WhatsApp otomatis (30/14/7 hari)","C","A","I","","","R"
"2","H1","Kirim pengingat perpanjangan via WhatsApp + tautan pembayaran","","I","I","","","R"
"3","H1","Personalisasi pesan dengan bahasa daerah","R","A","C","","","C"
"4","H1","Pantau read-rate, click-rate, conversion per gelombang","R","A","I","","","C"
"5","H1","Evaluasi program loyalitas (sertifikat + manfaat keselamatan)","A","C","C","","",""
"6","H1","Identifikasi WP progresif multi-kendaraan untuk penghargaan","R","A","I","","","C"
"7","K1","Hasilkan daftar kontak tunggakan <90 hari + nomor HP","R","C","I","","","C"
"8","K1","Kirim WhatsApp massal minggu 1 setelah jatuh tempo","","I","I","","","R"
"9","K1","Tindak lanjut WhatsApp hari 30 dan 60 dengan urgensi naik","","I","I","","","R"
"10","K1","Alihkan ke SMS hari 45 bagi yang tidak respond","","I","I","","","R"
"11","K1","Proses pembayaran via kanal digital","","I","R","","",""
"12","K1","Analisis konversi per gelombang untuk tuning","R","A","C","","","C"
"13","O1","Rancang kampanye WhatsApp 3 pesan dalam 6 minggu","R","A","C","","","C"
"14","O1","Selaraskan jadwal SAMSAT Keliling dengan konsentrasi O1","I","A","R","","C",""
"15","O1","Pemberitahuan berbasis lokasi saat Keliling dekat","","I","C","","","R"
"16","O1","Integrasi ETLE untuk identifikasi yang masih beroperasi","I","C","C","R","","C"
"17","O1","SMS massal sebagai cadangan untuk yang tidak respond WA","","I","I","","","R"
"18","O1","Pantau konversi per kecamatan untuk optimasi rute Keliling","R","A","C","","","C"
"19","M1","Rancang regulasi amnesti parsial 50-75% (deadline 60 hari)","C","A","C","","I",""
"20","M1","Hasilkan perhitungan denda individual untuk WhatsApp","R","C","I","","","C"
"21","M1","Kirim kampanye WhatsApp bertarget dengan kewajiban personal","","I","I","","","R"
"22","M1","Cetak dan distribusikan surat tagihan fisik penguat","","A","R","","C",""
"23","M1","Aktivasi Duta Pajak (Hayak Bahayau / Huma Betang Mahaga)","I","C","R","","A",""
"24","M1","Proses pembayaran amnesti di loket SAMSAT dan Keliling","","I","R","","",""
"25","M1","Validasi & rekonsiliasi setiap transaksi amnesti","C","A","R","","",""
"26","M2","Rancang regulasi amnesti penuh denda (deadline 90 hari)","C","A","C","C","",""
"27","M2","Kampanye WA massal ke 71% kendaraan terjangkau","","I","I","","","R"
"28","M2","Koordinasi kelurahan/RT-RW untuk 29% offline","I","C","R","","A",""
"29","M2","Tempatkan SAMSAT Keliling di area konsentrasi","I","A","R","","C",""
"30","M2","Integrasi ETLE deteksi yang masih beroperasi","I","C","C","R","","C"
"31","M2","Proses pembayaran amnesti pokok PKB di SAMSAT/Keliling","","I","R","","",""
"32","M2","Kebijakan Tidak Bayar = Tidak Ada BBM untuk kendaraan dinas","I","A","C","C","",""
"33","M2","Rencanakan jadwal/lokasi razia pasca-amnesti berbasis data","I","C","C","A","",""
"34","M2","Eksekusi razia + tilang pasca-amnesti","I","I","C","R","",""
"35","M2","Proses pembayaran langsung di lokasi selama razia","","I","R","C","",""
"36","S1","Rancang regulasi pengurangan BBNKB untuk registrasi pertama","C","A","C","C","",""
"37","S1","Identifikasi titik konsentrasi via koordinasi kelurahan","I","C","C","","R",""
"38","S1","SAMSAT Keliling dengan kapabilitas balik nama langsung","I","A","R","C","C",""
"39","S1","Kampanye komunitas via spanduk, RT/RW, Duta Pajak","I","C","R","","A",""
"40","S1","Libatkan BRILink, PT POS, BUMDES sebagai titik layanan","C","A","R","","C",""
"41","S1","Proses balik nama dan registrasi PKB baru di lokasi","","I","R","C","",""
"42","S1","Sediakan terminal pembayaran luring-ke-daring","C","I","C","","","R"
"43","S2","Tandai kendaraan hantu massal untuk peninjauan registrasi","","A","R","C","",""
"44","S2","Pemberitahuan administratif terakhir surat fisik (90 hari)","","A","R","","",""
"45","S2","Pencocokan silang dengan data Polri/Ditlantas","","C","C","R","",""
"46","S2","Reklasifikasi yang merespond ke M2 atau S1","R","A","I","","I",""
"47","S2","Arsipkan/hapus registrasi yang konfirmasi tidak aktif","","A","R","","I",""
