"scenario_id","segmen_kode","konversi_pct","est_pendapatan_idr","scenario_label"
"1","K1","0.6","10800604714","Konservatif"
"2","O1","0.35","5005847081","Konservatif"
"3","M1","0.25","2446328598","Konservatif"
"4","M2","0.15","5091725071","Konservatif"
"5","S1","0.1","199989899","Konservatif"
"6","K1","0.7","12600794293","Moderat"
"7","O1","0.45","6435929817","Moderat"
"8","M1","0.35","3424070430","Moderat"
"9","M2","0.25","8486569670","Moderat"
"10","S1","0.15","299984849","Moderat"
"11","K1","0.75","13501013272","Optimis"
"12","O1","0.5","7151582575","Optimis"
"13","M1","0.4","3914360266","Optimis"
"14","M2","0.3","10183811359","Optimis"
"15","S1","0.2","400168025","Optimis"
