cert_id,table_id,certification_level,certified_at,certified_by,valid_until,schema_validated,pk_validated,fk_validated,null_check_passed,range_check_passed,distribution_check,freshness_check,pii_redacted,documented,sample_validated,issues_found,evidence_link,notes
CERT-TBL-2026-001,gold.registry_enriched,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"[{""type"":""boundary_drift"",""severity"":""low"",""description"":""3,780 rows reclassified at M2/S2 boundary usia=20"",""mitigation"":""accepted as soft rule per L4-SEGMEN-001""},{""type"":""missing_dimension"",""severity"":""medium"",""description"":""5 kode_jenken (A,D,E,S anomaly) not in dim_jenken seed"",""mitigation"":""tracked in L4-DATA-001""}]",L1_schema_metadata.md,Validated against framework v1.4 Sheet 2 99% match.
CERT-TBL-2026-002,gold.transaksi_fact,bronze,2026-05-05,Pilot Lead,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""type"":""data_not_loaded"",""severity"":""critical"",""description"":""Schema declared but data NOT loaded for pilot scope"",""mitigation"":""See L4-DATA-005 + L4-PILOT-002""}]",L4-DATA-005,Pending populate post-pilot.
CERT-TBL-2026-003,ref.dim_jenken,silver,2026-05-05,Pilot Lead,2026-07-05,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[{""type"":""missing_codes"",""severity"":""medium"",""description"":""5 kode_jenken in registry not in dim_jenken seed (A,D,E,S anomaly)"",""mitigation"":""Domain expert review by 2026-05-12""}]",L4-DATA-001,SILVER not GOLD due to missing codes.
CERT-TBL-2026-004,ref.dim_segmen,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,[],framework_v1.4,Static seed from framework v1.4.
CERT-TBL-2026-005,ref.dim_wilayah,silver,2026-05-05,Pilot Lead,2026-07-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,[],PalangkaRaya_v1.4_xlsx,Source from typology sheet.
CERT-TBL-2026-006,ref.dim_kategori,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,[],trivial_reference,Trivial reference (R2/R4 only).
CERT-TBL-2026-007,ref.treatment_rules,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,[],treatment_v1.4_yaml,Source of truth for treatment recommendations.
CERT-TBL-2026-008,gold_plus.summary_per_segmen,silver,2026-05-05,Pilot Lead,2026-07-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,[],derived_python,Materialized view; refreshed manually.
CERT-TBL-2026-009,gold_plus.summary_per_wilayah,silver,2026-05-05,Pilot Lead,2026-07-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,[],derived_python,Materialized view.
CERT-TBL-2026-010,gold_plus.priority_targets,silver,2026-05-05,Pilot Lead,2026-07-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,[],derived_python,Critical pilot output (top 1000 quick wins).
CERT-TBL-2026-011,kb.reference_docs,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,[],kb_chunks_to_embed_jsonl,Embedded via embed_kb.py.
CERT-TBL-2026-012,kb.few_shot,silver,2026-05-05,Pilot Lead,2026-07-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,[],04_galen_few_shot_jsonl,Bootstrap content; will grow.
CERT-TBL-2026-013,meta.table_metadata,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,[],self_governance,Self-referencing governance layer.
CERT-TBL-2026-014,meta.metric_certification,gold,2026-05-05,Pilot Lead,2026-08-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,[],metric_certification_md,27 metrics defined.
